1;Operacion "STRIX';1;5
1;Objetivo: conseguir esposa;1;4
1;Objetivo: entrar en Eden;1;5
1;Objetivo: pasar la entrevista;1;3
1;el resultado;1;4
1;Objetivo: hacer amigos;1;4
1;el segundo hijo del objetivo;1;5
1;plan de camuflaje;1;2
1;Demostraramos que estamos enamorados;1;5
1;Objetivo Quemados;1;5
5;el ataque del angel;1;4
5;un techo desconocido;1;3
5;el telefono que nunca suena;1;4
5;lluvia, despues de la huida;1;2
5;Rei, el otro de su corazon;1;5
5;la batalla decisiva;1;5
5;construido por los hombres;1;3
5;Asuka llega a japon;1;5
5;un instante,una mente en unisono;1;5
5;sumergida en el magma;1;2
5;En las tinieblas inmoviles;1;3
5;el valor de un milagro;1;4
5;la evolucion del angeel;1;5
5;SEELE, el lugar de los espiritus;1;4
5;mentiras y silencio;1;5
5;al borde la muerte;1;5
5;Apto para ser el cuarto elegido;1;3
5;Eligir un destino;1;4
5;el combate de un muchacho;1;5
5;el espejo del alma;1;4
5;el nacimiento del angel;1;5
5;al menos actua como un ser humano;1;4
5;REI III: lagrimas;1;5
5;el ultimo enviado;1;4
5;un mundo que se acaba;1;5
5;la bestia que pedia amor;1;2
2;Luz roja,luz verda;1;5
2;Infierno;1;4
2;el hombre del paraguas;1;5
2;no abandones el equiop;1;5
2;un mundo justo;1;5
2;Gganbu;1;5
2;Los VIP;1;5
2;EL lider;1;5
2;un dia de suerte;1;5
3;la desaparacion de will;1;5
3;la loca de la calle maple;1;5
3;todo esta bien;1;5
3;el cuerpo;1;5
3;la pulga y el acrobata;1;4
3;el monstruo;1;5
3;la bañera;1;5
3;el otro lado;1;5
3;MADMAX;2;5
3;dulce o truco;2;5
3;el renacuajo;2;4
3;Will el sabio;2;5
3;Dig Dug;2;5
3;El espia;2;5
3;la humana peridida;2;3
3;el azotamentes;2;5
3;el portal;2;5
4;los tres robots;1;5
4;Mas alla de la grieta;1;5
4;la era del hielo;1;5
4;la ventaja de sonnie;1;5
4;vendra por tu alma;1;5
4;testigo;1;5
4;trajes;1;5
4;buena caceria;1;4
4;el vertedero;1;3
4;mutantes;1;5
4;noche de pesca;1;5
4;necesito una mano;1;5
4;historias alternativas;1;5
4;trece de la suerte;1;3
4;punto ciego;1;5
4;pieza unicas;1;5


